id;fecha_hora;cantidad;total_neto;total_pagar;tipo_de_pago
1;2022-06-08T09:07:19;84409;98434;35791;TARJETA
2;2022-06-08T10:46:36;35505;43584;96108;METALICO
3;2022-06-08T03:12:54;50732;44441;76537;TARJETA
4;2022-06-08T12:22:59;27690;66449;51528;TARJETA
5;2022-06-07T22:58:17;16754;9111;26694;METALICO
6;2022-06-08T11:14:11;77300;91228;1440;TARJETA
7;2022-06-07T22:20:24;90479;25178;81600;METALICO
8;2022-06-07T17:44:35;5093;26558;67685;TARJETA
9;2022-06-07T19:54:47;58507;39414;9234;METALICO
10;2022-06-08T13:04:07;26658;67251;81211;METALICO
