id;nombre_social;cif;telefono;email;direccion
1;EXE index clicks-and-mortar;Monte parse;circuit override;Gonzalo.Cordero65@yahoo.com;Australian
2;synthesize Agente Acero;Hormigon;Zapatos SSL;Carolina97@hotmail.com;Manat withdrawal
3;Valenciana;circuit Coordinador Ethiopian;producto Avon Verde;Roco74@hotmail.com;Metal Japón
4;Avon;Calidad Extremadura;virtual Cataluña Andorra;Santiago_Armijo@hotmail.com;Proactivo Loan
5;niches Especialista;copy Blanco Dinánmico;Algodón Perseverando convergence;Ariadna_Alicea31@yahoo.com;Cliente index Guinea-Bisau
6;Avon;digital;Avon Guantes;Mercedes_Acosta@yahoo.com;Won Ladrillo
7;Cine channels Pre-emptivo;Murcia Fantástico Negro;Práctico;Carla_Tafoya65@yahoo.com;Jefe 1080p
8;Ladrillo Refinado Usabilidad;Especialista Plástico;payment;Adriana.Ocasio@gmail.com;Ordenador
9;Dinar Hogar Salud;Amarillo;Valenciana Arroyo;Julio_Gallardo51@yahoo.com;Borders Salida
10;Bedfordshire paralelismo;Práctico quantifying;Acero;Marcos.Uras98@hotmail.com;Patatas cross-platform
