id;bodega;denominacion_origen;ano_cosecha;nombre;maduracion;descripcion;cata;pureza_vino;precio_bruto;tipo_uva_tinta;tipo_uva_blanca;stock
1;Baleares Borders;ASTURIAS;2022-06-08;Bangladesh producto;mano;card;Algodón Infraestructura;46417;79286;TEMPRANILLO;CHARDONNAY;36309
2;Funcionario;ASTURIAS;2022-06-07;system Conjunto Ruanda;harness;programming;architect;33679;5573;MONASTRELL;VIURA;55339
3;Mercados quantifying;C_VALENCIANA;2022-06-08;hacking Bebes Re-contextualizado;Moroccan Acero technologies;back-end;open-source Pizza quantifying;86229;84742;MONASTRELL;MOSCATEL;80671
4;Asturias;MADRID;2022-06-07;Lado Administrador Comunidad;Gris overriding Siria;deposit Municipio;Account;40182;40060;MENCIA;RIESLING;78953
5;Directo;ASTURIAS;2022-06-08;Buckinghamshire;Genérico;Zapatos Parcela primary;acompasada Granito Loan;43637;44238;VERDEJO_NEGRO;PINOIT_BLANC;16516
6;Granito quantify;MADRID;2022-06-08;Verde;Extramuros España;Ordenador Bricolaje infraestructura;Intranet Lugar focus;65455;50931;CALLET;ALBARINO;71262
7;Asimilado superestructura;NAVARRA;2022-06-08;Caimán Borders y;bus terciaria;deposit Regional;sensor program Avon;63680;19817;CABERNET_SAUVIGNON;SAUVIGNON_BLANC;13531
8;International;PAIS_VASCO;2022-06-07;Intranet sensible;Tanzanian Dinamarca;sistémica;Account;65121;38438;CABERNET_FRANC;MACABEO_VIURA;7283
9;optical visionary;CANARIAS;2022-06-08;cero value-added array;Director;Borders;Plástico;25048;72914;CALLET;MACABEO_VIURA;59536
10;invoice Account;LA_RIOJA;2022-06-08;Negro Negro;Optimizado Acero Guantes;fidelidad Hogar;blockchains Granito Sopa;34204;93938;PRIETO_PICUDO;SAUVIGNON_BLANC;17885
