id;bodega;denominacion_origen;ano_cosecha;nombre;maduracion;descripcion;cata;pureza_vino;precio_bruto;tipo_uva_tinta;stock
1;copying;CASTILLA_LA_MANCHA;2022-06-07;Eslovaquia Navarra Navarra;override;compressing;gráfico Algodón Pequeño;45283;24801;MATURANA;39952
2;online Videojuegos Interno;NAVARRA;2022-06-07;Especialista bluetooth Mali;infomediaries Verde;Práctico;Cantabria;39352;27001;BRANCELLAO;76409
3;Inversor Metal;CASTILLA_Y_LEON;2022-06-07;Seguro;calculate strategic Joyería;Negro Central;withdrawal;74695;51393;BOBAL;35581
4;Loan Virtual;SIN_DOMINACION;2022-06-07;system;port;Senior Heredado engineer;Blanco;3496;81846;MERLOT;13493
5;potenciada Verde;CASTILLA_LA_MANCHA;2022-06-08;deliverables 1080p Account;Savings alarm;global synthesize;modelo GB Zapatos;76438;71673;BRANCELLAO;81313
6;Cataluña XML;CASTILLA_LA_MANCHA;2022-06-07;interactiva open-source;International back-end Cambridgeshire;Metal;Juguetería Nakfa;94199;51304;VERDEJO_NEGRO;83267
7;estrategia Patatas HDD;CASTILLA_LA_MANCHA;2022-06-08;Buckinghamshire Global Jardines;compress;FTP;payment override;82546;50544;MATURANA;80229
8;Bicicleta;C_VALENCIANA;2022-06-07;Futuro Bedfordshire;magnetic SQL Avon;Algodón Refinado Metal;1080p Equilibrado;18551;10998;BOBAL;5659
9;navigating Violeta Kenia;ANDALUCIA;2022-06-08;open-source;Subida exploit state;Gris;PNG Ngultrum Queso;58065;46970;MATURANA;81651
10;Andalucía;MURCIA;2022-06-08;Ergonómico Madera;Relacciones web Travesía;nacional synergies;Huerta Account;23958;33314;CABERNET_SAUVIGNON;92862
