id;bodega;denominacion_origen;ano_cosecha;nombre;maduracion;descripcion;cata;pureza_vino;precio_bruto;tipo_uva_blanca;stock
1;Equilibrado turn-key;LA_RIOJA;2022-06-08;customized Región;analizada Verde e-business;Diseñador;Verde generación bluetooth;63022;78744;SAUVIGNON_BLANC;4699
2;HTTP;CANARIAS;2022-06-08;Multi Principado Planificador;Camiseta;connect Madera Blanco;SQL Avon;96245;86030;RIESLING;93227
3;heurística;CATALUNA;2022-06-08;Increible Inversor embrace;repurpose Futuro;Digitalizado;viral;42647;79335;GODELLO;1251
4;grow Director calculating;CANARIAS;2022-06-07;Hecho;supply-chains capacitor;application;Relacciones Extremadura;2417;69329;ALBARINO;11319
5;Rampa Relacciones Optimizado;CASTILLA_LA_MANCHA;2022-06-08;Práctico;Lado reboot;compressing;innovadora asíncrona brand;65669;24709;PALOMINO_FINO;73611
6;Extremadura Parafarmacia Mascotas;LA_RIOJA;2022-06-08;copying cero invoice;Pasaje Account Guapa;Moldovan dinámica Moda;Representante;70404;73275;RIESLING;76155
7;Grupo;CATALUNA;2022-06-08;quantify programming;a;Electrónica Regional;País;49882;76040;RIESLING;86838
8;Librería;ARAGON;2022-06-08;Berkshire hardware;Comunidad online Granito;deposit;back-end overriding;39340;72531;MOSCATEL;73291
9;nivel;LA_RIOJA;2022-06-08;Ordenador Taiwan;Principado Algodón Toallas;Azul;mobile;32008;1322;GODELLO;27144
10;Moda;SIN_DOMINACION;2022-06-08;calculating;terciaria 24/7;digital;payment;40501;13350;MALVASIA;66201
